"YEAR","RACE","SEX","SITE","EVENT_TYPE","COUNT","POPULATION"
"1999","All Races","Female","Acute Lymphocytic","Incidence","1647",139034769
"1999","All Races","Female","Acute Lymphocytic","Mortality","582",142237295
"2000","All Races","Female","Acute Lymphocytic","Incidence","1777",140494755
"2000","All Races","Female","Acute Lymphocytic","Mortality","591",143719004
"2001","All Races","Female","Acute Lymphocytic","Incidence","1843",143603977
"2001","All Races","Female","Acute Lymphocytic","Mortality","644",145077463
"2002","All Races","Female","Acute Lymphocytic","Incidence","1786",144616076
"2002","All Races","Female","Acute Lymphocytic","Mortality","616",146394634
"2003","All Races","Female","Acute Lymphocytic","Incidence","1811",147679036
"2003","All Races","Female","Acute Lymphocytic","Mortality","574",147679036
"2004","All Races","Female","Acute Lymphocytic","Incidence","1905",148977286
"2004","All Races","Female","Acute Lymphocytic","Mortality","606",148977286
"2005","All Races","Female","Acute Lymphocytic","Incidence","1881",150319521
"2005","All Races","Female","Acute Lymphocytic","Mortality","653",150319521
"2006","All Races","Female","Acute Lymphocytic","Incidence","1942",151732647
"2006","All Races","Female","Acute Lymphocytic","Mortality","623",151732647
"2007","All Races","Female","Acute Lymphocytic","Incidence","2073",153166353
"2007","All Races","Female","Acute Lymphocytic","Mortality","605",153166353
"2008","All Races","Female","Acute Lymphocytic","Incidence","2151",154604015
"2008","All Races","Female","Acute Lymphocytic","Mortality","607",154604015
"2009","All Races","Female","Acute Lymphocytic","Incidence","2118",155964075
"2009","All Races","Female","Acute Lymphocytic","Mortality","596",155964075
"2010","All Races","Female","Acute Lymphocytic","Incidence","2148",157258820
"2010","All Races","Female","Acute Lymphocytic","Mortality","662",157258820
"2010-2014","All Races","Female","Acute Lymphocytic","Incidence","10790",791087365
"2010-2014","All Races","Female","Acute Lymphocytic","Mortality","3199",797940140
"2011","All Races","Female","Acute Lymphocytic","Incidence","2283",157079233
"2011","All Races","Female","Acute Lymphocytic","Mortality","659",158427085
"2012","All Races","Female","Acute Lymphocytic","Incidence","2160",159581546
"2012","All Races","Female","Acute Lymphocytic","Mortality","598",159581546
"2013","All Races","Female","Acute Lymphocytic","Incidence","2097",160720625
"2013","All Races","Female","Acute Lymphocytic","Mortality","625",160720625
"2014","All Races","Female","Acute Lymphocytic","Incidence","2170",161952064
"2014","All Races","Female","Acute Lymphocytic","Mortality","655",161952064
"1999","All Races","Female","Acute Myeloid","Incidence","4614",139034769
"1999","All Races","Female","Acute Myeloid","Mortality","3225",142237295
"2000","All Races","Female","Acute Myeloid","Incidence","4798",140494755
"2000","All Races","Female","Acute Myeloid","Mortality","3405",143719004
"2001","All Races","Female","Acute Myeloid","Incidence","4966",143603977
"2001","All Races","Female","Acute Myeloid","Mortality","3551",145077463
"2002","All Races","Female","Acute Myeloid","Incidence","4695",144616076
"2002","All Races","Female","Acute Myeloid","Mortality","3499",146394634
"2003","All Races","Female","Acute Myeloid","Incidence","5046",147679036
"2003","All Races","Female","Acute Myeloid","Mortality","3617",147679036
"2004","All Races","Female","Acute Myeloid","Incidence","4987",148977286
"2004","All Races","Female","Acute Myeloid","Mortality","3701",148977286
"2005","All Races","Female","Acute Myeloid","Incidence","4974",150319521
"2005","All Races","Female","Acute Myeloid","Mortality","3625",150319521
"2006","All Races","Female","Acute Myeloid","Incidence","5128",151732647
"2006","All Races","Female","Acute Myeloid","Mortality","3814",151732647
"2007","All Races","Female","Acute Myeloid","Incidence","5238",153166353
"2007","All Races","Female","Acute Myeloid","Mortality","3727",153166353
"2008","All Races","Female","Acute Myeloid","Incidence","5364",154604015
"2008","All Races","Female","Acute Myeloid","Mortality","3965",154604015
"2009","All Races","Female","Acute Myeloid","Incidence","5398",155964075
"2009","All Races","Female","Acute Myeloid","Mortality","3972",155964075
"2010","All Races","Female","Acute Myeloid","Incidence","6168",157258820
"2010","All Races","Female","Acute Myeloid","Mortality","3959",157258820
"2010-2014","All Races","Female","Acute Myeloid","Incidence","31936",791087365
"2010-2014","All Races","Female","Acute Myeloid","Mortality","20690",797940140
"2011","All Races","Female","Acute Myeloid","Incidence","6350",157079233
"2011","All Races","Female","Acute Myeloid","Mortality","4148",158427085
"2012","All Races","Female","Acute Myeloid","Incidence","6394",159581546
"2012","All Races","Female","Acute Myeloid","Mortality","4083",159581546
"2013","All Races","Female","Acute Myeloid","Incidence","6544",160720625
"2013","All Races","Female","Acute Myeloid","Mortality","4121",160720625
"2014","All Races","Female","Acute Myeloid","Incidence","6665",161952064
"2014","All Races","Female","Acute Myeloid","Mortality","4379",161952064
"1999","All Races","Female","All Cancer Sites Combined","Incidence","625712",139034769
"1999","All Races","Female","All Cancer Sites Combined","Mortality","264003",142237295
"2000","All Races","Female","All Cancer Sites Combined","Incidence","635522",140494755
"2000","All Races","Female","All Cancer Sites Combined","Mortality","267008",143719004
"2001","All Races","Female","All Cancer Sites Combined","Incidence","661186",143603977
"2001","All Races","Female","All Cancer Sites Combined","Mortality","266692",145077463
"2002","All Races","Female","All Cancer Sites Combined","Incidence","665312",144616076
"2002","All Races","Female","All Cancer Sites Combined","Mortality","268501",146394634
"2003","All Races","Female","All Cancer Sites Combined","Incidence","674812",147679036
"2003","All Races","Female","All Cancer Sites Combined","Mortality","268908",147679036
"2004","All Races","Female","All Cancer Sites Combined","Incidence","685783",148977286
"2004","All Races","Female","All Cancer Sites Combined","Mortality","267056",148977286
"2005","All Races","Female","All Cancer Sites Combined","Incidence","700539",150319521
