"Y" "X1" "X2" "X3"
4264 305.657 7.17 0
4496 328.476 6.2 0
4317 317.164 4.61 0
4292 366.745 7.02 0
4945 265.518 8.61 1
4325 301.995 6.88 0
4110 269.334 7.23 0
4111 267.631 6.27 0
4161 296.35 6.49 0
4560 277.223 6.37 0
4401 269.189 7.05 0
4251 277.133 6.34 0
4222 282.892 6.94 0
4063 306.639 8.56 0
4343 328.405 6.71 0
4833 321.773 5.82 1
4453 272.319 6.82 0
4195 293.88 8.38 0
4394 300.867 7.72 0
4099 296.872 7.67 0
4816 245.674 7.72 1
4867 211.944 6.45 1
4114 227.996 7.22 0
4314 248.328 8.5 0
4289 249.894 8.08 0
4269 302.66 7.26 0
4347 273.848 7.39 0
4178 245.743 8.12 0
4333 267.673 6.75 0
4226 256.506 7.79 0
4121 271.854 7.89 0
3998 293.225 9.01 0
4475 269.121 8.01 0
4545 322.812 7.21 0
4016 252.225 7.85 0
4207 261.365 6.14 0
4148 287.645 6.76 0
4562 289.666 7.92 0
4146 270.051 8.19 0
4555 265.239 7.55 0
4365 352.466 6.94 0
4471 426.908 7.25 0
5045 369.989 9.65 1
4469 472.476 8.2 0
4408 414.102 8.02 0
4219 302.507 6.72 0
4211 382.686 7.23 0
4993 442.782 7.61 1
4309 322.303 7.39 0
4499 290.455 7.99 0
4186 411.75 7.83 0
4342 292.087 7.77 0
